place	time	pace	age	gender	location	state	divPlace	divTot
4494	92.25	9.225	38	M	Chesapeake Beach MD	MD	690	1093
6298	106.35	10.635	33	M	Washington DC	DC	1322	1490
2502	89.33	8.933	55	F	McLean VA	VA	37	236
8176	113.5	11.35	24	F	Alexandria VA	VA	878	974
3413	86.52	8.652	54	M	San Francisco CA	CA	213	483
8008	112.3	11.23	42	F	Chevy Chase MD	MD	785	974
8791	118.45	11.845	36	F	Fairfax VA	VA	1215	1367
3987	95.17	9.517	25	F	Arlington VA	VA	1230	2782
3451	93.25	9.325	25	F	Philadelphia PA	PA	1074	2782
1046	72.37	7.237	43	M	Pasadena MD	MD	111	931
3484	86.9	8.69	55	M	Falls Church VA	VA	138	375
2987	84.47	8.447	30	M	Potomac MD	MD	659	1490
4427	96.65	9.665	39	F	Walnut CA	CA	587	1367
6496	108.93	10.893	40	M	Springfield VA	VA	846	931
5827	101.58	10.158	30	F	Washington DC	DC	1297	2228
1224	82.78	8.278	24	F	Arlington VA	VA	164	974
4942	98.32	9.832	45	F	Potomac MD	MD	255	554
9579	134.18	13.418	33	F	Sterling VA	VA	2189	2228
6425	107.98	10.798	41	M	Arlington VA	VA	831	931
5951	102.08	10.208	36	F	Alexandria VA	VA	809	1367
8609	116.78	11.678	38	F	Edison NJ	NJ	1189	1367
3586	87.42	8.742	45	M	Branchville NJ	NJ	314	648
3823	94.58	9.458	35	F	New Market MD	MD	517	1367
2123	79.25	7.925	37	M	McLean VA	VA	307	1093
4517	92.37	9.237	23	M	Washington DC	DC	229	347
6525	109.28	10.928	51	M	Annandale VA	VA	444	483
227	62.47	6.247	30	M	Herndon VA	VA	66	1490
6462	108.45	10.845	46	M	Arlington VA	VA	577	648
7503	109.05	10.905	27	F	Arlington VA	VA	2269	2782
5751	100.62	10.062	23	M	Baltimore MD	MD	297	347
953	80.73	8.073	31	F	Arlington VA	VA	216	2228
2937	91.2	9.12	51	F	Delaware OH	OH	96	397
1145	82.23	8.223	65	F	Oak Hill VA	VA	2	35
3146	85.15	8.515	34	M	Burke VA	VA	697	1490
6783	105.45	10.545	31	F	Silver Spring MD	MD	1513	2228
4098	95.55	9.555	27	F	Durham NC	NC	1264	2782
6222	103.2	10.32	26	F	Alexandria VA	VA	1900	2782
1823	77.7	7.77	39	M	Alexandria VA	VA	267	1093
5029	98.6	9.86	33	F	Alexandria VA	VA	1117	2228
6945	119.43	11.943	53	M	Alexandria VA	VA	473	483
6669	104.97	10.497	27	F	Ashubrn VA	VA	2038	2782
3733	94.27	9.427	22	F	Colorado Springs CO	CO	491	974
6026	102.42	10.242	24	F	Laurel MD	MD	712	974
2144	87.85	8.785	33	F	Washington DC	DC	474	2228
1750	86.07	8.607	43	F	Arlington VA	VA	168	974
6132	102.82	10.282	30	F	Washington DC	DC	1362	2228
394	65.52	6.552	33	M	Washington DC	DC	113	1490
863	79.93	7.993	29	F	Fairfax VA	VA	283	2782
5167	99.1	9.91	29	F	Washington DC	DC	1599	2782
4498	96.9	9.69	37	F	Aberdeen MD	MD	599	1367
868	80	8	25	F	Austin TX	TX	285	2782
7340	108.12	10.812	31	F	West Springfield VA	VA	1642	2228
200	70.97	7.097	34	F	Alexandria VA	VA	48	2228
4130	90.18	9.018	43	M	South Riding VA	VA	529	931
1193	73.45	7.345	40	M	McLean VA	VA	127	931
1678	76.8	7.68	43	M	Westport CT	CT	204	931
5335	97.42	9.742	29	M	Washington DC	DC	1134	1457
1556	85.02	8.502	34	F	Severna Park MD	MD	347	2228
3974	95.15	9.515	28	F	Alexandria VA	VA	1227	2782
6862	116.85	11.685	28	M	Washington DC	DC	1407	1457
8203	113.77	11.377	35	F	Alexandria VA	VA	1122	1367
4952	94.98	9.498	44	M	Richmond VA	VA	645	931
549	76.83	7.683	42	F	Arlington VA	VA	42	974
5605	99.45	9.945	27	M	Washington DC	DC	1184	1457
3782	94.45	9.445	28	F	Kensington MD	MD	1159	2782
4350	91.5	9.15	24	M	Arnold MD	MD	223	347
876	80.1	8.01	32	F	Alexandria VA	VA	199	2228
5726	101.18	10.118	46	F	Middleburg VA	VA	310	554
1421	75.28	7.528	38	M	Smyrna DE	DE	212	1093
7562	109.35	10.935	22	F	Washington DC	DC	826	974
5715	100.35	10.035	33	M	Arlington VA	VA	1223	1490
6956	106.32	10.632	28	F	Boston MA	MA	2120	2782
5843	101.35	10.135	23	M	Washington DC	DC	301	347
5625	99.65	9.965	47	M	Fairfax Station VA	VA	488	648
835	79.75	7.975	16	F	Washington DC	DC	7	83
7841	111.15	11.115	29	F	Export PA	PA	2342	2782
